,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8942312,HOUSE,MIXED_USE_BUILDING,389000,2275,314,4,True,0,True,1708,True,0,False,False,isNewClassified,1743,1743,GOOD,False
8947150,HOUSE,APARTMENT_BLOCK,455000,7140,390,6,True,0,False,0,False,0,False,False,isNewClassified,310,310,GOOD,False
8954766,HOUSE,APARTMENT_BLOCK,530000,7000,376,0,False,0,False,0,False,0,False,False,isNewClassified,2075,2075,GOOD,False
8877795,HOUSE,VILLA,1085000,2900,500,5,False,0,True,2400,False,0,False,False,,2600,32,AS_NEW,False
8855356,HOUSE,APARTMENT_BLOCK,1349000,2060,385,15,True,0,True,110,True,0,True,False,,215,215,AS_NEW,False
8940600,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,200000,7500,164,0,True,0,False,0,False,0,False,False,isNewClassified,0,164,GOOD,False
7736057,INDUSTRY,WAREHOUSE,300000,4980,568,0,False,0,False,0,False,0,False,False,,1249,1249,GOOD,False
8795520,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,640000,2340,2959,0,True,0,False,0,False,0,False,False,,0,2959,,False
8488952,OFFICE,OFFICE_BLOCK,695000,4141,400,0,True,0,False,0,True,0,False,False,,0,400,AS_NEW,False
8924523,HOUSE,APARTMENT_BLOCK,499000,1070,200,5,False,0,False,0,False,0,False,False,,0,200,GOOD,False
8926147,HOUSE,APARTMENT_BLOCK,629000,1600,224,6,False,0,False,0,True,0,False,False,,0,224,,False
8839829,COMMERCIAL,BUSINESS,249000,2830,66,0,False,0,False,0,False,0,False,False,,84,84,AS_NEW,False
8923347,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,250000,3740,191,0,False,0,False,0,True,0,False,False,,284,284,,False
